,spearman_abs,mutual_info,cramers_v
URL_Length,0.5412873390812892,0.1907551918193363,0.5409830878221701
URL_Depth,0.15008795153570836,0.0728797249556889,0.3503455364635147
Prefix/Suffix,0.3027045578700073,0.05700859886315794,0.3022102605531336
Have_At,0.11841924310505735,0.007963123299549036,0.11732682105044728
Web_Traffic,0.10879311756851923,0.005973866832489377,0.10805990500637733
iFrame,0.0984461337859685,0.004919969538473179,0.09759207252357191
Have_IP,0.07436677547886003,0.0038275182181717327,0.0723301642841678
Domain_Age,0.08507683311414097,0.0036239533622147713,0.08428677244168037
TinyURL,0.07292111718065475,0.0026808366239961384,0.07188346662528527
Domain_End,0.06855600820512128,0.0023564483041073614,0.06756844024035738
Mouse_Over,0.05133800131796105,0.0013254845324890963,0.04994806951456659
Web_Forwards,0.04137622041097333,0.0008578664522556623,0.039815647737326376
Right_Click,0.026466778104640317,0.0004854481980352274,0.020363630259682637
https_Domain,0.01414355004946072,0.0001386494401133889,0.0
DNS_Record,0.015943469019386602,0.00012714039413547207,0.011988222500467114
Redirection,0.0025995957942785415,3.379223550321886e-06,0.0
